model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_4h_long_V13.pt,4h,long,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,85,71,14,83.53,98.38,✅ ok
DQN_4h_long_V14.pt,4h,long,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,159,138,21,86.79,103.39,✅ ok
DQN_4h_long_V15.pt,4h,long,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,106,82,24,77.36,103.19,✅ ok
DQN_4h_long_V2.pt,4h,long,2,macd|ema_20,32,0.6,49,38,11,77.55,96.52,✅ ok
DQN_4h_long_V3.pt,4h,long,3,macd|rsi_14,32,0.6,10,9,1,90.0,99.8,✅ ok
DQN_4h_long_V4.pt,4h,long,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,52,36,16,69.23,101.58,✅ ok
DQN_4h_long_V5.pt,4h,long,5,macd|ema_20|rsi_14,32,0.6,164,135,29,82.32,101.74,✅ ok
DQN_4h_long_V6.pt,4h,long,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,11,6,5,54.55,97.04,✅ ok
DQN_4h_long_V7.pt,4h,long,7,macd|supertrend|ema_20,32,0.6,57,48,9,84.21,100.98,✅ ok
DQN_4h_long_V8.pt,4h,long,8,macd|supertrend|rsi_14,32,0.6,136,117,19,86.03,106.62,✅ ok
DQN_4h_long_V9.pt,4h,long,9,macd|supertrend|ema_20|rsi_14,32,0.6,32,24,8,75.0,99.58,✅ ok
DQN_4h_short_V1.pt,4h,short,1,macd|supertrend,32,0.6,50,0,50,0.0,74.01,✅ ok
DQN_4h_short_V10.pt,4h,short,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,94,0,94,0.0,56.8,✅ ok
DQN_4h_short_V11.pt,4h,short,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,177,0,177,0.0,34.47,✅ ok
DQN_4h_short_V12.pt,4h,short,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,113,0,113,0.0,50.66,✅ ok
DQN_4h_short_V13.pt,4h,short,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,215,0,215,0.0,27.42,✅ ok
DQN_4h_short_V14.pt,4h,short,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,195,0,195,0.0,30.93,✅ ok
DQN_4h_short_V15.pt,4h,short,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,196,0,196,0.0,30.74,✅ ok
